hmin,smin,vmin,F1 Score
30,100,50,0.3089430894308943
30,100,53,0.3492063492063492
30,100,56,0.3492063492063492
30,100,59,0.3492063492063492
30,100,62,0.3875968992248062
30,100,65,0.37500000000000006
30,100,68,0.3492063492063492
30,100,71,0.37500000000000006
30,100,74,0.37500000000000006
30,100,77,0.37500000000000006
30,100,80,0.336
30,100,83,0.3492063492063492
30,100,86,0.32258064516129037
30,100,89,0.3089430894308943
30,100,92,0.29508196721311475
30,100,95,0.2809917355371901
30,100,98,0.2644628099173554
30,100,101,0.23333333333333334
30,100,104,0.2184873949579832
30,100,107,0.20512820512820512
30,100,110,0.17391304347826086
30,100,113,0.17391304347826086
30,100,116,0.17543859649122806
30,100,119,0.14285714285714285
30,103,50,0.29508196721311475
30,103,53,0.3089430894308943
30,103,56,0.3089430894308943
30,103,59,0.29508196721311475
30,103,62,0.29508196721311475
30,103,65,0.32258064516129037
30,103,68,0.3089430894308943
30,103,71,0.3089430894308943
30,103,74,0.32258064516129037
30,103,77,0.3089430894308943
30,103,80,0.29508196721311475
30,103,83,0.3089430894308943
30,103,86,0.29508196721311475
30,103,89,0.3089430894308943
30,103,92,0.2809917355371901
30,103,95,0.23728813559322035
30,103,98,0.22222222222222224
30,103,101,0.20689655172413796
30,103,104,0.18965517241379312
30,103,107,0.20689655172413796
30,103,110,0.15789473684210528
30,103,113,0.17543859649122806
30,103,116,0.15929203539823011
30,103,119,0.14285714285714285
30,106,50,0.3089430894308943
30,106,53,0.29508196721311475
30,106,56,0.29508196721311475
30,106,59,0.25210084033613445
30,106,62,0.26666666666666666
30,106,65,0.3089430894308943
30,106,68,0.32258064516129037
30,106,71,0.32258064516129037
30,106,74,0.3089430894308943
30,106,77,0.32258064516129037
30,106,80,0.26666666666666666
30,106,83,0.26666666666666666
30,106,86,0.26666666666666666
30,106,89,0.26666666666666666
30,106,92,0.25210084033613445
30,106,95,0.20689655172413796
30,106,98,0.19130434782608693
30,106,101,0.19130434782608693
30,106,104,0.17543859649122806
30,106,107,0.15929203539823011
30,106,110,0.14285714285714285
30,106,113,0.15929203539823011
30,106,116,0.16071428571428573
30,106,119,0.12727272727272726
30,109,50,0.2542372881355932
30,109,53,0.22413793103448276
30,109,56,0.22413793103448276
30,109,59,0.22413793103448276
30,109,62,0.23931623931623933
30,109,65,0.2833333333333334
30,109,68,0.2833333333333334
30,109,71,0.2975206611570248
30,109,74,0.2542372881355932
30,109,77,0.2689075630252101
30,109,80,0.2542372881355932
30,109,83,0.23931623931623933
30,109,86,0.22413793103448276
30,109,89,0.23931623931623933
30,109,92,0.19298245614035087
30,109,95,0.19298245614035087
30,109,98,0.19298245614035087
30,109,101,0.17699115044247787
30,109,104,0.17699115044247787
30,109,107,0.17699115044247787
30,109,110,0.12727272727272726
30,109,113,0.14414414414414414
30,109,116,0.11009174311926606
30,109,119,0.11009174311926606
30,112,50,0.22413793103448276
30,112,53,0.19298245614035087
30,112,56,0.20869565217391306
30,112,59,0.17699115044247787
30,112,62,0.19298245614035087
30,112,65,0.22413793103448276
30,112,68,0.20869565217391306
30,112,71,0.20869565217391306
30,112,74,0.19298245614035087
30,112,77,0.20869565217391306
30,112,80,0.19298245614035087
30,112,83,0.17699115044247787
30,112,86,0.17699115044247787
30,112,89,0.17699115044247787
30,112,92,0.19298245614035087
30,112,95,0.14414414414414414
30,112,98,0.16071428571428573
30,112,101,0.16071428571428573
30,112,104,0.14414414414414414
30,112,107,0.16071428571428573
30,112,110,0.14414414414414414
30,112,113,0.14414414414414414
30,112,116,0.14414414414414414
30,112,119,0.11009174311926606
30,115,50,0.19298245614035087
30,115,53,0.17699115044247787
30,115,56,0.19298245614035087
30,115,59,0.17699115044247787
30,115,62,0.17699115044247787
30,115,65,0.19298245614035087
30,115,68,0.19298245614035087
30,115,71,0.19298245614035087
30,115,74,0.19298245614035087
30,115,77,0.14414414414414414
30,115,80,0.17699115044247787
30,115,83,0.16071428571428573
30,115,86,0.14414414414414414
30,115,89,0.17699115044247787
30,115,92,0.17699115044247787
30,115,95,0.14414414414414414
30,115,98,0.14414414414414414
30,115,101,0.16071428571428573
30,115,104,0.14414414414414414
30,115,107,0.16071428571428573
30,115,110,0.14414414414414414
30,115,113,0.14414414414414414
30,115,116,0.12727272727272726
30,115,119,0.11009174311926606
30,118,50,0.17699115044247787
30,118,53,0.17699115044247787
30,118,56,0.17699115044247787
30,118,59,0.16071428571428573
30,118,62,0.16071428571428573
30,118,65,0.16071428571428573
30,118,68,0.16071428571428573
30,118,71,0.14414414414414414
30,118,74,0.12727272727272726
30,118,77,0.11009174311926606
30,118,80,0.11009174311926606
30,118,83,0.11009174311926606
30,118,86,0.11009174311926606
30,118,89,0.14414414414414414
30,118,92,0.14414414414414414
30,118,95,0.11009174311926606
30,118,98,0.11009174311926606
30,118,101,0.12727272727272726
30,118,104,0.12727272727272726
30,118,107,0.14414414414414414
30,118,110,0.14414414414414414
30,118,113,0.12727272727272726
30,118,116,0.12727272727272726
30,118,119,0.11009174311926606
30,121,50,0.12727272727272726
30,121,53,0.12727272727272726
30,121,56,0.14414414414414414
30,121,59,0.12727272727272726
30,121,62,0.12727272727272726
30,121,65,0.12727272727272726
30,121,68,0.11009174311926606
30,121,71,0.11009174311926606
30,121,74,0.11009174311926606
30,121,77,0.09259259259259259
30,121,80,0.09259259259259259
30,121,83,0.09259259259259259
30,121,86,0.09259259259259259
30,121,89,0.12727272727272726
30,121,92,0.12727272727272726
30,121,95,0.09259259259259259
30,121,98,0.09259259259259259
30,121,101,0.12727272727272726
30,121,104,0.12727272727272726
30,121,107,0.12727272727272726
30,121,110,0.12727272727272726
30,121,113,0.11009174311926606
30,121,116,0.11009174311926606
30,121,119,0.09259259259259259
30,124,50,0.12727272727272726
30,124,53,0.12727272727272726
30,124,56,0.14414414414414414
30,124,59,0.12727272727272726
30,124,62,0.12727272727272726
30,124,65,0.12727272727272726
30,124,68,0.12727272727272726
30,124,71,0.12727272727272726
30,124,74,0.11009174311926606
30,124,77,0.09259259259259259
30,124,80,0.09259259259259259
30,124,83,0.09259259259259259
30,124,86,0.09259259259259259
30,124,89,0.12727272727272726
30,124,92,0.12727272727272726
30,124,95,0.09259259259259259
30,124,98,0.09259259259259259
30,124,101,0.11009174311926606
30,124,104,0.09259259259259259
30,124,107,0.11009174311926606
30,124,110,0.11009174311926606
30,124,113,0.11009174311926606
30,124,116,0.09259259259259259
30,124,119,0.07476635514018691
30,127,50,0.11009174311926606
30,127,53,0.11009174311926606
30,127,56,0.12727272727272726
30,127,59,0.11009174311926606
30,127,62,0.11009174311926606
30,127,65,0.11009174311926606
30,127,68,0.11009174311926606
30,127,71,0.11009174311926606
30,127,74,0.11009174311926606
30,127,77,0.11009174311926606
30,127,80,0.11009174311926606
30,127,83,0.11009174311926606
30,127,86,0.09259259259259259
30,127,89,0.11009174311926606
30,127,92,0.11009174311926606
30,127,95,0.07476635514018691
30,127,98,0.09259259259259259
30,127,101,0.11009174311926606
30,127,104,0.09259259259259259
30,127,107,0.09259259259259259
30,127,110,0.09259259259259259
30,127,113,0.07476635514018691
30,127,116,0.07476635514018691
30,127,119,0.05660377358490566
30,130,50,0.12612612612612614
30,130,53,0.12612612612612614
30,130,56,0.12612612612612614
30,130,59,0.1090909090909091
30,130,62,0.1090909090909091
30,130,65,0.1090909090909091
30,130,68,0.12612612612612614
30,130,71,0.1090909090909091
30,130,74,0.1090909090909091
30,130,77,0.1090909090909091
30,130,80,0.1090909090909091
30,130,83,0.09174311926605504
30,130,86,0.09174311926605504
30,130,89,0.1090909090909091
30,130,92,0.1090909090909091
30,130,95,0.07407407407407407
30,130,98,0.09174311926605504
30,130,101,0.09174311926605504
30,130,104,0.09174311926605504
30,130,107,0.07407407407407407
30,130,110,0.09174311926605504
30,130,113,0.07407407407407407
30,130,116,0.07407407407407407
30,130,119,0.056074766355140186
30,133,50,0.12727272727272726
30,133,53,0.12727272727272726
30,133,56,0.12612612612612614
30,133,59,0.12727272727272726
30,133,62,0.1090909090909091
30,133,65,0.11009174311926606
30,133,68,0.11009174311926606
30,133,71,0.11009174311926606
30,133,74,0.11009174311926606
30,133,77,0.11009174311926606
30,133,80,0.09259259259259259
30,133,83,0.09259259259259259
30,133,86,0.11009174311926606
30,133,89,0.11009174311926606
30,133,92,0.11009174311926606
30,133,95,0.07476635514018691
30,133,98,0.09259259259259259
30,133,101,0.11009174311926606
30,133,104,0.09259259259259259
30,133,107,0.07476635514018691
30,133,110,0.09259259259259259
30,133,113,0.07476635514018691
30,133,116,0.07476635514018691
30,133,119,0.05660377358490566
30,136,50,0.11009174311926606
30,136,53,0.11009174311926606
30,136,56,0.11009174311926606
30,136,59,0.11009174311926606
30,136,62,0.09259259259259259
30,136,65,0.09259259259259259
30,136,68,0.09259259259259259
30,136,71,0.07476635514018691
30,136,74,0.09259259259259259
30,136,77,0.07476635514018691
30,136,80,0.07476635514018691
30,136,83,0.07476635514018691
30,136,86,0.09259259259259259
30,136,89,0.09259259259259259
30,136,92,0.09259259259259259
30,136,95,0.05660377358490566
30,136,98,0.07476635514018691
30,136,101,0.09259259259259259
30,136,104,0.07476635514018691
30,136,107,0.05660377358490566
30,136,110,0.07476635514018691
30,136,113,0.05660377358490566
30,136,116,0.03809523809523809
30,136,119,0.03809523809523809
30,139,50,0.11009174311926606
30,139,53,0.09259259259259259
30,139,56,0.12727272727272726
30,139,59,0.11009174311926606
30,139,62,0.09259259259259259
30,139,65,0.09259259259259259
30,139,68,0.07476635514018691
30,139,71,0.07476635514018691
30,139,74,0.07476635514018691
30,139,77,0.07476635514018691
30,139,80,0.07476635514018691
30,139,83,0.07476635514018691
30,139,86,0.09259259259259259
30,139,89,0.09259259259259259
30,139,92,0.09259259259259259
30,139,95,0.05660377358490566
30,139,98,0.07476635514018691
30,139,101,0.09259259259259259
30,139,104,0.07476635514018691
30,139,107,0.05660377358490566
30,139,110,0.07476635514018691
30,139,113,0.05660377358490566
30,139,116,0.03809523809523809
30,139,119,0.03809523809523809
30,142,50,0.11009174311926606
30,142,53,0.09259259259259259
